City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Dali,CN,25.7,100.1833,73.94,47,87,8.43,overcast clouds
196,Conakry,GN,9.538,-13.6773,79.97,85,94,8.14,overcast clouds
197,Ancud,CL,-41.8697,-73.8203,55.09,91,100,15.3,light rain
198,Sorland,NO,67.667,12.6934,37.26,63,100,20.83,light rain
199,Teya,RU,60.3778,92.6267,32.32,72,100,13.47,overcast clouds
200,Killybegs,IE,54.6333,-8.45,54.97,79,59,9.33,broken clouds
201,Port Washington,US,40.8257,-73.6982,47.8,66,100,21.0,overcast clouds
202,Provideniya,RU,64.3833,-173.3,31.57,98,100,11.52,snow
203,Charleston,US,32.7766,-79.9309,65.01,85,20,8.05,few clouds
204,Abnub,EG,27.2696,31.1511,73.62,12,13,4.63,few clouds
205,Sept-Iles,CA,50.2001,-66.3821,30.72,79,0,6.91,clear sky
206,Katsuura,JP,35.1333,140.3,57.69,74,100,12.28,overcast clouds
207,Ngunguru,NZ,-35.6167,174.5,59.18,79,4,4.52,clear sky
208,Broome,US,42.2506,-75.833,39.67,76,0,5.75,clear sky
209,Sinop,TR,41.7711,34.8709,46.83,81,100,5.14,overcast clouds
210,Arraial Do Cabo,BR,-22.9661,-42.0278,70.88,80,81,4.68,broken clouds
211,Artvin,TR,41.1667,41.8333,48.69,87,100,3.85,overcast clouds
212,Narsaq,GL,60.9167,-46.05,52.02,63,100,6.55,overcast clouds
213,Henties Bay,NA,-22.116,14.2845,59.22,75,0,5.55,clear sky
214,Ust-Kuyga,RU,70.0167,135.6,29.12,78,100,10.0,overcast clouds
215,Zhigansk,RU,66.7697,123.3711,34.77,98,100,15.97,overcast clouds
216,Juneau,US,58.3019,-134.4197,42.8,98,75,3.44,broken clouds
217,Oistins,BB,13.0667,-59.5333,80.69,78,20,13.8,few clouds
218,Madison Heights,US,42.4859,-83.1052,47.82,64,0,3.44,clear sky
219,Ostrovnoy,RU,68.0531,39.5131,35.26,77,47,21.61,scattered clouds
220,Geraldton,AU,-28.7667,114.6,84.61,21,7,11.5,clear sky
221,Balikpapan,ID,-1.2675,116.8289,83.39,89,20,2.3,light rain
222,Conde,BR,-7.2597,-34.9075,72.86,100,0,6.91,clear sky
223,Codrington,AU,-38.2667,141.9667,54.72,71,93,6.04,overcast clouds
224,Virar,IN,19.4667,72.8,93.29,55,0,14.23,clear sky
225,Yuanping,CN,38.7153,112.7575,62.56,45,100,3.13,overcast clouds
226,Tombouctou,ML,20.0,-3.0,83.43,9,0,19.57,clear sky
227,Guerrero Negro,MX,27.9769,-114.0611,60.57,82,74,13.2,broken clouds
228,Buenos Aires,AR,-34.6132,-58.3772,62.33,87,0,6.91,clear sky
229,Flin Flon,CA,54.7682,-101.865,49.8,98,100,7.34,overcast clouds
230,Adrar,MR,20.5022,-10.0711,86.32,13,5,8.99,clear sky
231,Dukat,RU,62.55,155.55,24.66,91,98,3.02,overcast clouds
232,Pacific Grove,US,36.6177,-121.9166,51.91,82,0,18.99,clear sky
233,Narasannapeta,IN,18.4167,84.05,90.9,54,29,17.13,scattered clouds
234,Newcastle,AU,-32.9272,151.7765,65.08,61,0,5.75,clear sky
235,Riviere-Au-Renard,CA,48.9957,-64.3971,28.69,79,3,9.24,clear sky
236,Saint-Pierre,RE,-21.3393,55.4781,83.88,58,100,5.75,overcast clouds
237,Morehead,US,37.2711,-87.1764,49.98,99,0,0.0,clear sky
238,Pevek,RU,69.7008,170.3133,27.37,90,100,7.11,overcast clouds
239,Gold Coast,AU,-28.0,153.4333,70.0,85,100,10.36,overcast clouds
240,Barka Kana,IN,23.6167,85.4833,100.24,14,1,6.38,clear sky
241,Harper,LR,4.375,-7.7169,81.14,82,99,9.04,light rain
242,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,2.3,broken clouds
243,Moose Factory,CA,51.2585,-80.6094,37.4,56,0,8.05,clear sky
244,Tiarei,PF,-17.5333,-149.3333,78.82,76,9,1.95,clear sky
245,Mogadishu,SO,2.0371,45.3438,87.67,74,40,14.97,scattered clouds
246,Avera,US,33.194,-82.5271,55.45,91,0,6.38,clear sky
247,Laurel,US,39.0993,-76.8483,45.86,91,100,11.5,overcast clouds
248,Ambulu,ID,-8.345,113.6058,84.9,80,100,5.06,moderate rain
249,Lahat,ID,-3.8,103.5333,89.2,55,94,2.42,overcast clouds
250,Victoria,HK,22.2855,114.1577,82.45,65,100,11.01,overcast clouds
251,Kirkuk,IQ,35.4681,44.3922,72.52,25,0,5.44,clear sky
252,Kimbe,PG,-5.5502,150.1429,79.97,87,99,0.2,light rain
253,Coihueco,CL,-36.6167,-71.8333,41.74,93,0,0.0,clear sky
254,Sumbe,AO,-11.2061,13.8437,79.34,75,100,2.51,overcast clouds
255,Svetlogorsk,BY,52.6333,29.7333,57.31,76,100,6.04,overcast clouds
