City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Lagoa,PT,59.86,scattered clouds,39.05,-27.9833,
358,Soe,ID,75.36,broken clouds,-9.8607,124.284,
359,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,
360,Zyryanka,RU,35.06,overcast clouds,65.75,150.85,
361,Cabedelo,BR,74.07,broken clouds,-6.9811,-34.8339,
362,Sakaiminato,JP,64.33,broken clouds,35.55,133.2333,
363,San Lorenzo,PY,52.74,clear sky,-25.3333,-57.5333,
364,San Alberto,CO,75.47,overcast clouds,7.7611,-73.3922,
365,Manica,FR,56.14,scattered clouds,49.0,-1.1667,
366,Rudnogorsk,RU,40.82,overcast clouds,57.2639,103.7519,
367,Palasa,IN,89.96,scattered clouds,18.7667,84.4167,
368,Caravelas,BR,75.51,overcast clouds,-17.7125,-39.2481,
370,Yar-Sale,RU,33.75,overcast clouds,66.8333,70.8333,
371,Lyngseidet,NO,35.6,overcast clouds,69.5763,20.2189,
373,Pinega,RU,45.9,overcast clouds,64.7001,43.3936,
374,Mendi,PG,60.89,overcast clouds,-6.1761,143.6513,
375,Halifax,CA,35.22,overcast clouds,44.6453,-63.5724,
376,Inuvik,CA,38.16,few clouds,68.3499,-133.7218,
377,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,
378,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,
379,Tiznit,MA,81.93,scattered clouds,29.5833,-9.5,
380,Sherbakul,RU,63.43,few clouds,54.6316,72.3963,
381,Yichun,CN,57.02,clear sky,47.7,128.9,
382,Ziro,IN,72.34,broken clouds,27.6333,93.8333,
383,Alakurtti,RU,37.78,light rain,66.9672,30.3491,
384,Nara,JP,72.77,broken clouds,34.6851,135.8049,
386,Pathein,MM,83.1,moderate rain,16.7833,94.7333,
387,Verkhoyansk,RU,35.01,overcast clouds,67.5447,133.385,
388,Vanimo,PG,83.08,few clouds,-2.6741,141.3028,
389,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,
390,Vilhena,BR,62.87,broken clouds,-12.7406,-60.1458,
391,Vestmanna,FO,43.72,light intensity drizzle,62.1564,-7.1664,
392,Georgiyevka,KZ,84.24,clear sky,43.0369,74.7114,
393,Tessalit,ML,82.87,clear sky,20.1986,1.0114,
394,Wynyard,AU,52.99,clear sky,-41.0,145.7167,
395,Harrisonburg,US,43.18,overcast clouds,38.4496,-78.8689,
396,Mount Gambier,AU,57.11,broken clouds,-37.8333,140.7667,
397,Tateyama,JP,60.76,overcast clouds,34.9833,139.8667,
398,Tubuala,PA,80.56,few clouds,9.5167,-79.0333,
399,Mezhdurechensk,RU,48.27,few clouds,53.6942,88.0603,
400,Ponta Do Sol,PT,66.0,overcast clouds,32.6667,-17.1,
401,Bazaliya,UA,57.56,overcast clouds,49.7127,26.4733,
402,Havelock,US,57.15,overcast clouds,34.8791,-76.9013,
